year,gross_rate
1971,38.70375824
1972,40.38587952
1973,42.51815033
1974,43.79808044
1975,46.6497612
1976,50.02408981
1977,50.74240112
1978,52.80266953
1979,53.38319016
1980,55.58403015
1981,58.6955986
1982,60.57873154
1983,61.08142853
1984,62.32690811
1985,62.77381897
1986,64.60201263
1987,68.17134857
1988,71.97213745
1989,75.66673279
1990,80.03865051
1991,82.31931305
1992,0
1993,89.48474121
1994,89.08480072
1995,89.60843658
1996,89.47949982
1997,0
1998,81.75553131
1999,82.83309937
2000,77.40939331
2001,77.97988129
2002,90.05129242
2003,93.33525848
2004,95.25051117
2005,95.19016266
2006,98.27297211
2007,98.84381866
2008,99.85549164
2009,102.7055588
2010,108.2528534
2011,109.4980621
2012,108.9375687
2013,103.1126099
2014,102.5993881
2015,102.7473297
2016,102.2938004
2017,102.0113297
2018,102.3540421
